,SAMPLE_ID,SumOfLength.cm.,SumOfProjArea.cm2.,SumOfSurfArea.cm2.,SumOfAvgDiam.mm.,SumOfRootVolume.cm3.,STEM,COTS_TOTAL,LEAF_TOTAL,Total.Of.PROJ_AREA_AG,LEAF,LEAVES_TOTAL,TRANSP_DATE,GERM_ID,COLOR,TLD,HD,H_num,HT,L_num,C_num,PWF,L.SFW,CWS,CWD,LWS,LWD,SWS,SWD,RWF,RWD,LWF_A,LWS_A,LWD_A,LWF_B,LWS_B,LWD_B,BWF_A,BWS_A,BWD_A,SWF_A,SWD_A,NOTES,AVG_SEED_WEIGHT,SPECIES,LOCATION_CODE,POP_CODE,SAMPLE_NUM,LETTER,COLOR,POP_ID,SLA,LW_Max_A,LW_Max_B,BW_Max,LW_Max_Sum,LDMC,SRL,RMR,RALAR
115,ARTRWY_UTSW_OCR_5_H1_G,3.9077,0.1048,0.3291,0.2681,0.002,NA,0.0869,NA,0.0869,NA,NA,25-Jul,B4,G,9-Aug,4-Aug,1,1.3,2,2,0.0066,0.0044,0.0041,0.000221,NA,NA,0.0016,3.00E-05,0.0013,0.000127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.000285,ARTRWY,UTSW,OCR,5,H1,G,ARTRWY_UTSW_OCR,NA,NA,NA,NA,NA,NA,307.6929134,0.335978836,0.546687533
117,ARTRWY_UTSW_OCR_7_H4_G,2308.0163,88.9084,279.3142,0.7727,2.691,NA,NA,6.8925,6.8925,NA,NA,25-Jul,B9,G,4-Aug,17-Oct,4,21.8,NA,10.361,6.4322,NA,NA,NA,4.8662,0.9242,0.7418,0.207,2.3331,0.308,0.0367,0.0381,0.0079,NA,NA,NA,0.182,0.1976,0.0368,0.0615,0.0156,,0.000285,ARTRWY,UTSW,OCR,7,H4,G,ARTRWY_UTSW_OCR,872.4683544,0.0381,NA,0.1976,0.2357,0.189647857,74.93559416,0.212839472,NA
119,ELTR_NMNW_C_10_H4_G,8205.6245,226.5374,711.6885,1.9024,5.249,NA,NA,12.8695,12.8695,NA,NA,28-Sep,NA,G,28-Sep,21-Dec,4,61,54,NA,NA,6.817,NA,NA,6.817,1.3198,NA,0.2005,3.807,0.5141,0.1868,0.187,0.0454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ELTR,NMNW,C,10,H4,G,ELTR_NMNW_C,283.469163,0.187,NA,NA,0.187,0.242780749,159.6114472,0.24718723,NA
121,ELTR_NMNW_C_14_H4_G,NA,NA,NA,NA,NA,NA,NA,6.6164,6.6164,NA,NA,2-Oct,NA,G,2-Oct,27-Dec,4,47.2,61,NA,NA,NA,NA,NA,4.4251,1.205,NA,NA,NA,NA,0.0816,0.0583,0.032,0.0165,0.0172,0.0022,NA,NA,NA,NA,NA,NA,NA,ELTR,NMNW,C,14,H4,G,ELTR_NMNW_C,193.4619883,0.0816,0.0172,NA,0.0988,0.346153846,NA,NA,NA
130,ELTR_NMNW_C_4_H4_O,4953.5977,141.2559,443.7688,1.1218,3.207,NA,NA,12.8926,12.8926,NA,NA,28-Sep,NA,O,28-Sep,20-Dec,4,52.5,46,NA,NA,NA,NA,NA,6.0253,1.2678,0.6928,0.1429,4.291,0.6046,0.1414,0.1362,0.0314,0.0441,0.0462,0.0101,NA,NA,NA,NA,NA,NA,NA,ELTR,NMNW,C,4,H4,O,ELTR_NMNW_C,310.6650602,0.1414,0.0462,NA,0.1876,0.221215352,81.93181773,0.29395177,NA
141,ELTR_UTC_TMC_2_H4_B,770.143,25.1769,79.0957,0.3269,0.646,NA,NA,3.8579,3.8579,NA,NA,4-Oct,NA,B,4-Oct,27-Dec,4,20.8,19,NA,NA,0.676,NA,NA,NA,0.15,NA,NA,NA,NA,0.0403,0.0417,0.0089,0.0142,0.0149,0.003,NA,NA,NA,NA,NA,NA,NA,ELTR,UTC,TMC,2,H4,B,ELTR_UTC_TMC,324.1932773,0.0417,0.0149,NA,0.0566,0.21024735,NA,NA,NA
143,ELTR_UTC_TMC_4_H4_B,785.5142,25.6842,80.6893,0.327,0.66,NA,NA,5.5886,5.5886,NA,NA,11-Oct,NA,B,11-Oct,3-Jan,4,24.6,19,NA,NA,0.728,NA,NA,NA,0.1514,NA,NA,0.5235,0.0628,0.0541,0.053,0.0097,0.021,0.0212,0.0041,NA,NA,NA,NA,NA,NA,NA,ELTR,UTC,TMC,4,H4,B,ELTR_UTC_TMC,404.9710145,0.0541,0.0212,NA,0.0753,0.183266932,125.081879,0.275438596,NA
144,ELTR_UTC_TMC_7_H4_B,2319.2078,76.1523,239.2395,0.9847,1.978,NA,NA,2.8875,2.8875,NA,NA,11-Oct,NA,B,11-Oct,3-Jan,4,33.5,36,NA,NA,2.185,NA,NA,2.185,0.416,NA,NA,1.4623,0.1712,0.025,0.0245,0.0051,0.0155,0.016,0.0026,NA,NA,NA,NA,NA,NA,NA,ELTR,UTC,TMC,7,H4,B,ELTR_UTC_TMC,375,0.025,0.016,NA,0.041,0.187804878,135.4677453,0.287779459,NA
153,ELTR_UTSW_DNF_17_H4_Y,15996.2505,402.2171,1263.6023,1.2722,8.021,NA,NA,39.283,39.283,NA,NA,14-Aug,NA,Y,14-Aug,6-Nov,4,43,60,NA,NA,7.7331,NA,NA,7.7331,1.814,NA,NA,7.5267,1.0675,0.204,0.204,0.0469,0.0884,0.0884,0.0232,NA,NA,NA,NA,NA,NA,NA,ELTR,UTSW,DNF,17,H4,Y,ELTR_UTSW_DNF,560.3851641,0.204,0.0884,NA,0.2924,0.239740082,149.8477799,0.361668248,NA
159,ELTR_UTSW_DNF_7_H4_Y,6621.9426,230.3213,723.5756,0.3478,6.292,NA,NA,74.5911,74.5911,NA,NA,31-Jul,NA,Y,3-Jul,23-Oct,4,48.5,26,NA,12.7125,5.3349,NA,NA,5.3349,1.1229,NA,NA,6.3827,0.8135,0.2716,0.2535,0.0612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ELTR,UTSW,DNF,7,H4,Y,ELTR_UTSW_DNF,1218.808824,0.2716,NA,NA,0.2716,0.22533137,81.40064659,0.407238686,NA
160,ELTR_UTSW_SP_10_H4_R,2664.5858,62.249,195.5611,0.3956,1.161,NA,NA,5.4935,5.4935,NA,NA,31-Jul,NA,R,31-Jul,23-Oct,4,29.7,26,NA,3.7628,1.8218,NA,NA,1.8218,0.3948,NA,NA,1.4469,0.1609,0.1268,0.117,0.0221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ELTR,UTSW,SP,10,H4,R,ELTR_UTSW_SP,248.5746606,0.1268,NA,NA,0.1268,0.174290221,165.6050839,0.278470059,NA
165,ELTR_UTSW_SP_20_H4_Y,5021.7452,116.0132,364.4664,0.7899,2.292,NA,NA,57.2521,57.2521,NA,NA,31-Aug,NA,Y,31-Aug,24-Nov,4,37.2,42,NA,NA,NA,NA,NA,3.7411,0.7859,NA,NA,2.3124,0.2498,0.1035,0.1035,0.0222,0.0203,0.0215,0.0038,NA,NA,NA,NA,NA,NA,NA,ELTR,UTSW,SP,20,H4,Y,ELTR_UTSW_SP,2202.003846,0.1035,0.0215,NA,0.125,0.208,201.0306325,0.235283037,NA
169,ELTR_UTSW_SP_8_H4_Y,524.5351,12.3668,38.8513,0.2358,0.229,NA,NA,4.8283,4.8283,NA,NA,28-Aug,NA,Y,28-Aug,20-Nov,4,22.8,13,NA,NA,0.4245,NA,NA,0.3567,0.0789,NA,NA,0.317,0.0295,0.0926,0.082,0.0161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ELTR,UTSW,SP,8,H4,Y,ELTR_UTSW_SP,299.8944099,0.0926,NA,NA,0.0926,0.173866091,177.8085085,0.236947791,NA
174,HEAN_AZSE_HWD_12_H4_G,10945.5348,372.2949,1169.5989,0.6705,10.2,NA,NA,24.456,24.456,24.456,NA,9-Aug,D7,G,NA,1-Nov,4,47.8,26,NA,29.0262,16.3188,NA,NA,9.187,1.2267,7.1318,1.2526,11.548,0.8419,0.728,0.5083,0.0985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEAN,AZSE,HWD,12,H4,G,HEAN_AZSE_HWD,248.284264,0.728,NA,NA,0.728,0.135302198,130.0099157,0.246191186,NA
180,HEAN_AZSE_HWD_8_H4_O,14795.4337,438.6843,1378.1675,1.7912,10.305,NA,NA,17.4256,17.4256,17.4256,NA,9-Aug,D9,O,NA,1-Nov,4,46,31,NA,NA,NA,NA,NA,10.3312,1.3411,7.546,1.6227,12.9414,0.8898,0.5312,0.5538,0.0722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEAN,AZSE,HWD,8,H4,O,HEAN_AZSE_HWD,241.3518006,0.5538,NA,NA,0.5538,0.130371975,166.278194,0.22665444,NA
183,HEAN_UTEC_CI_1_H1_B,18.6035,0.6644,2.0873,0.3571,0.019,NA,0.3649,NA,0.3649,NA,NA,2-Oct,A2,B,NA,12-Oct,1,3.1,2,2,0.0583,0.036,0.0153,0.0015,9.00E-04,0.000199,0.0154,6.00E-04,0.0204,0.0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEAN,UTEC,CI,1,H1,B,HEAN_UTEC_CI,NA,NA,NA,NA,NA,0.221111111,155.0291667,0.34295513,0.645487224
186,HEAN_UTEC_CI_14_H4_B,NA,NA,NA,NA,NA,NA,NA,57.4475,57.4475,NA,NA,2-Oct,C11,B,NA,27-Dec,4,80,17,NA,NA,NA,NA,NA,4.872,1.1874,15.7154,2.4811,NA,NA,0.3856,0.3856,0.0712,0.9109,0.9109,0.1728,NA,NA,NA,NA,NA,NA,NA,HEAN,UTEC,CI,14,H4,B,HEAN_UTEC_CI,235.4405738,0.3856,0.9109,NA,1.2965,0.188198997,NA,NA,NA
187,HEAN_UTEC_CI_15_H1_B,5.0971,0.1681,0.528,0.3298,0.004,NA,0.1567,NA,0.1567,NA,NA,4-Oct,A10,B,NA,13-Oct,1,2.2,NA,2,0.0155,0.0132,0.009,0.0016,NA,NA,0.0117,0.0012,0.0043,4.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEAN,UTEC,CI,15,H1,B,HEAN_UTEC_CI,NA,NA,NA,NA,NA,NA,127.4275,0.125,0.517549261
190,HEAN_UTEC_CI_18_H4_B,NA,NA,NA,NA,NA,NA,NA,26.6881,26.6881,NA,NA,4-Oct,C6,B,NA,2-Jan,4,66.5,27,NA,NA,NA,NA,NA,6.431,1.4542,10.8871,1.4131,NA,NA,0.5956,0.5956,0.111,0.0959,0.1126,0.0168,NA,NA,NA,NA,NA,NA,NA,HEAN,UTEC,CI,18,H4,B,HEAN_UTEC_CI,208.8270736,0.5956,0.1126,NA,0.7082,0.180457498,NA,NA,NA
192,HEAN_UTEC_CI_3_H4_B,NA,NA,NA,NA,NA,NA,NA,61.9141,61.9141,NA,NA,2-Oct,B3,B,NA,28-Dec,4,61.5,25,NA,NA,NA,NA,NA,7.7451,1.5008,10.2915,2.5493,NA,NA,1.0767,1.0799,0.2053,0.6085,0.6085,0.1183,NA,NA,NA,NA,NA,NA,NA,HEAN,UTEC,CI,3,H4,B,HEAN_UTEC_CI,191.32911,1.0799,0.6085,NA,1.6884,0.191660744,NA,NA,NA
193,HEAN_UTEC_CI_5_H1_B,18.5606,0.7558,2.3744,0.4072,0.024,NA,0.6093,NA,0.6093,NA,NA,2-Oct,B8,B,NA,12-Oct,1,3.9,2,2,0.0851,0.0523,0.0236,0.0016,0.0012,0.000165,0.0269,0.001,0.0275,0.0016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEAN,UTEC,CI,5,H1,B,HEAN_UTEC_CI,NA,NA,NA,NA,NA,0.1375,116.00375,0.366552119,0.553659073
196,HEAN_UTEC_CI_9_H1_B,5.6217,0.3315,1.0415,0.5897,0.015,NA,0.4728,NA,0.4728,NA,NA,2-Oct,D3,B,NA,12-Oct,1,3.8,2,2,0.0519,0.0355,0.0177,0.0012,0.0011,0.00089,0.0173,7.00E-04,0.0165,0.0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEAN,UTEC,CI,9,H1,B,HEAN_UTEC_CI,NA,NA,NA,NA,NA,0.809090909,46.8475,0.30075188,0.412159642
198,HEAN_UTEC_ONWR_1_H1_O,6.6057,0.239,0.7508,0.3618,0.007,NA,0.2455,NA,0.2455,NA,NA,28-Jul,A8,O,NA,7-Aug,1,4,NA,2,0.0415,0.0344,0.0236,0.0014,NA,NA,0.0184,4.00E-04,0.0088,2.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEAN,UTEC,ONWR,1,H1,O,HEAN_UTEC_ONWR,NA,NA,NA,NA,NA,NA,330.285,0.1,0.493292054
200,HEAN_UTEC_ONWR_12_H4_G,17664.1288,514.6782,1616.9092,1.4797,11.992,NA,NA,44.4631,44.4631,44.4631,NA,10-Aug,C7,G,NA,3-Nov,4,67,18,NA,NA,NA,NA,NA,10.665,1.671,13.313,2.9694,12.217,1.0907,1.3039,1.3039,0.1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEAN,UTEC,ONWR,12,H4,G,HEAN_UTEC_ONWR,227.3164622,1.3039,NA,NA,1.3039,0.150011504,161.9522215,0.184031586,NA
201,HEAN_UTEC_ONWR_13_H4_G,7797.1203,194.1485,609.9354,0.7704,3.822,NA,NA,48.3927,48.3927,NA,NA,21-Sep,E7,G,NA,14-Dec,4,81,10,NA,NA,NA,NA,NA,3.224,0.6583,8.6194,2.0268,4.3361,0.4355,0.627,0.627,0.1137,0.4227,0.4227,0.0798,NA,NA,NA,NA,NA,NA,NA,HEAN,UTEC,ONWR,13,H4,G,HEAN_UTEC_ONWR,250.0914729,0.627,0.4227,NA,1.0497,0.184338382,179.0383536,0.131408225,NA
208,HEAN_UTEC_ONWR_7_H4_O,6871.9509,227.7955,715.6406,0.687,5.97,NA,NA,24.4206,24.4206,24.4206,NA,31-Jul,B12,O,NA,24-Oct,4,64,11,NA,27.5886,19.227,NA,NA,6.318,0.9639,11.815,1.3177,4.9811,0.5287,0.6445,0.6445,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEAN,UTEC,ONWR,7,H4,O,HEAN_UTEC_ONWR,246.6727273,0.6445,NA,NA,0.6445,0.153607448,129.9782656,0.181727563,NA
214,HEAN_UTSE_VNS_4_H1_G,13.1578,0.4427,1.3909,0.3365,0.012,NA,0.4792,NA,0.4792,NA,NA,2-Oct,G9,G,NA,12-Oct,1,4.5,2,2,0.0599,0.043,0.0198,0.0015,0.0011,5.00E-04,0.0255,0.001,0.0152,6.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HEAN,UTSE,VNS,4,H1,G,HEAN_UTSE_VNS,NA,NA,NA,NA,NA,0.454545455,219.2966667,0.166666667,0.480203927
218,HECO_AZNC_KV_1_H1_G,23.5857,0.8305,2.6092,0.3521,0.023,NA,NA,NA,1.189,NA,1.189,26-Jul,A2,G,NA,4-Aug,1,7.3,2,NA,0.0371,0.0136,NA,NA,0.0126,NA,NA,NA,0.0154,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Above-ground lost after saturation,NA,HECO,AZNC,KV,1,H1,G,HECO_AZNC_KV,NA,NA,NA,NA,NA,NA,94.3428,1,0.411240406
219,HECO_AZNC_KV_12_H4_G,5696.0604,168.2813,528.6711,0.8406,4.082,NA,NA,3.9604,3.9604,NA,NA,18-Aug,G1,G,NA,20-Nov,4,26.9,NA,NA,8.3116,4.1523,NA,NA,4.0741,1.3252,NA,NA,2.734,0.483,0.047,0.0414,0.0162,0.0186,0.0185,0.0062,NA,NA,NA,NA,NA,"Late H4; stump fresh = 0.3727, stump dry = 0.0986; leaf A - big, leaf B - small",NA,HECO,AZNC,KV,12,H4,G,HECO_AZNC_KV,176.8035714,0.047,0.0186,NA,0.0656,0.341463415,117.9308571,0.263847919,NA
231,HECO_UTC_KRRS_10_H4_G,3877.0805,138.8834,436.315,0.3582,3.907,NA,NA,79.6635,79.6635,79.6635,NA,2-Aug,D2,G,NA,26-Oct,4,31.5,46,NA,6.0125,2.1104,NA,NA,2.1104,0.6868,NA,NA,2.9577,0.4379,0.0613,0.0623,0.0192,NA,NA,NA,NA,NA,NA,NA,NA,,NA,HECO,UTC,KRRS,10,H4,G,HECO_UTC_KRRS,4149.140625,0.0623,NA,NA,0.0623,0.308186196,88.5380338,0.382813183,NA
234,HECO_UTC_KRRS_14_H4_G,819.1477,19.9349,62.6273,0.2434,0.381,NA,NA,60.1927,60.1927,60.1927,NA,18-Aug,F2,G,NA,15-Nov,4,19.5,10,NA,NA,0.161,NA,NA,0.1212,0.053,NA,NA,0.3736,0.0617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,HECO,UTC,KRRS,14,H4,G,HECO_UTC_KRRS,Inf,NA,NA,NA,NA,0.437293729,132.7629984,0.537925022,NA
242,HECO_UTC_KRRS_5_H4_G,4402.2873,137.7545,432.7686,0.6264,3.387,NA,NA,2.9,2.9,NA,NA,2-Aug,A7,G,NA,31-Oct,4,33,65,NA,6.2177,2.736,NA,NA,2.736,0.7537,NA,NA,2.814,0.3255,0.033,0.0315,0.0086,NA,NA,NA,NA,NA,NA,NA,NA,,NA,HECO,UTC,KRRS,5,H4,G,HECO_UTC_KRRS,337.2093023,0.033,NA,NA,0.033,0.260606061,135.2469217,0.299227799,NA
247,HECO_UTC_TMR_12_H4_G,4575.3081,129.5336,406.9418,0.8399,2.912,NA,NA,80.3557,80.3557,NA,NA,25-Sep,E12,G,NA,18-Dec,4,34.2,35,NA,NA,2.298,NA,NA,NA,0.4491,NA,0.148,1.5459,0.2031,0.0809,0.076,0.0231,0.0257,0.024,0.0068,NA,NA,NA,NA,NA,"A - big, B - small",NA,HECO,UTC,TMR,12,H4,G,HECO_UTC_TMR,2687.481605,0.0809,0.0257,NA,0.1066,0.280487805,225.2736632,0.244669317,NA
248,HECO_UTC_TMR_13_H4_G,2326.4523,70.398,221.1617,0.5253,1.718,NA,NA,90.2251,90.2251,NA,NA,25-Sep,F10,G,NA,14-Dec,4,30,37,NA,NA,2.3444,NA,NA,NA,0.5403,NA,NA,1.554,0.1972,0.1797,0.1455,0.0401,0.0393,0.0406,0.0094,NA,NA,NA,NA,NA,"Slightly early H4 (4 days); A - big, B - small",NA,HECO,UTC,TMR,13,H4,G,HECO_UTC_TMR,1822.729293,0.1797,0.0406,NA,0.2203,0.2246936,117.9742546,0.250571792,NA
255,HECO_UTC_TMR_7_H4_O,1113.7139,37.4677,117.7083,0.3364,0.99,NA,NA,49.0211,49.0211,NA,NA,31-Aug,A8,O,NA,21-Nov,4,24.5,23,NA,NA,1.3222,NA,NA,0.568,0.303,NA,NA,0.8553,0.0978,0.0556,0.0547,0.014,0.0216,0.0215,0.0057,NA,NA,NA,NA,NA,"A - big, B - small",NA,HECO,UTC,TMR,7,H4,O,HECO_UTC_TMR,2488.380711,0.0556,0.0216,NA,0.0772,0.255181347,113.8766769,0.232580262,NA
263,HECO_UTEC_GRC_14_H4_G,2457.7375,118.7352,373.0177,0.9334,4.605,NA,NA,74.9576,74.9576,NA,NA,25-Sep,D6,G,NA,17-Dec,4,29.9,35,NA,3.2528,1.577,NA,NA,1.06,0.3895,0.2519,0.0571,1.2763,0.1513,0.0544,0.0525,0.0161,0.019,0.0191,0.0055,NA,NA,NA,NA,NA,"stump fresh = 0.0529, stump dry = 0.0143; A - big, B - small",NA,HECO,UTEC,GRC,14,H4,G,HECO_UTEC_GRC,3470.259259,0.0544,0.0191,NA,0.0735,0.293877551,162.4413417,0.244229217,NA
268,HECO_UTEC_GRC_4_H4_O,8432.1272,219.2084,688.6636,1.0359,4.806,NA,NA,88.534,88.534,NA,NA,18-Aug,D9,O,NA,17-Nov,4,29.5,61,NA,NA,3.794,NA,NA,1.9062,0.831,0.6953,0.176,3.6411,0.4929,0.0711,0.0729,0.027,0.0335,0.0324,0.0115,NA,NA,NA,NA,NA,"stump fresh = 0.3544, stump dry = 0.0861; A - big, B - small",NA,HECO,UTEC,GRC,4,H4,O,HECO_UTEC_GRC,2299.584416,0.0729,0.0335,NA,0.1064,0.361842105,171.071763,0.320397816,NA
269,HECO_UTEC_GRC_5_H4_O,NA,NA,NA,NA,NA,NA,NA,27.4754,27.4754,NA,NA,31-Aug,A12 or C1,O,NA,21-Nov,4,22,16,NA,NA,0.4053,NA,NA,0.3249,0.1216,NA,NA,0.305,0.0431,0.0331,0.0336,0.0111,0.0112,0.0113,0.0026,NA,NA,NA,NA,NA,"A - big, B - small",NA,HECO,UTEC,GRC,5,H4,O,HECO_UTEC_GRC,2005.50365,0.0336,0.0113,NA,0.0449,0.305122494,NA,0.241591928,NA
275,HECO_UTSW_SPR_11_H4_G,1221.1288,37.9245,119.1432,0.3106,0.925,NA,NA,2.9557,2.9557,NA,NA,28-Sep,H2,G,NA,20-Dec,4,22.5,52,NA,NA,1.2665,NA,NA,NA,0.301,NA,0.0605,0.631,0.0979,0.0252,0.024,0.008,0.0132,0.0145,0.004,NA,NA,NA,NA,NA,"A - big, B - small",NA,HECO,UTSW,SPR,11,H4,G,HECO_UTSW_SPR,246.3083333,0.0252,0.0145,NA,0.0397,0.302267003,124.7322574,0.207679253,NA
276,HECO_UTSW_SPR_13_H4_G,649.8074,14.5871,45.8266,0.2245,0.257,NA,NA,3.1982,3.1982,NA,NA,28-Sep,H9,G,NA,21-Dec,4,22,26,NA,NA,0.6574,NA,NA,0.3903,0.1443,0.1415,0.0315,0.1614,0.0307,0.0339,0.0322,0.0112,0.011,0.0115,0.0032,NA,NA,NA,NA,NA,"A - big, B - small",NA,HECO,UTSW,SPR,13,H4,G,HECO_UTSW_SPR,222.0972222,0.0339,0.0115,NA,0.0454,0.317180617,211.6636482,0.138976913,NA
281,HECO_UTSW_SPR_4_H4_G,1816.4431,74.6075,234.3863,0.4107,2.407,NA,NA,3.1084,3.1084,3.1084,NA,31-Jul,D12,G,NA,24-Oct,4,27,42,NA,3.6594,1.3684,NA,NA,1.3684,0.3926,NA,NA,2.0749,0.3121,0.0448,0.0399,0.0145,NA,NA,NA,NA,NA,NA,NA,NA,,NA,HECO,UTSW,SPR,4,H4,G,HECO_UTSW_SPR,214.3724138,0.0448,NA,NA,0.0448,0.323660714,58.20067607,0.433954394,NA
287,HEVI_AZNC_KV_1_H1_O,1.3165,0.0386,0.1214,0.2935,0.001,0.0341,0.1399,NA,0.174,NA,NA,10-Jul,,O,,21-Jul,1,1.3,NA,2,0.0042,0.0014,0.0029,7.00E-04,NA,5.00E-05,0.0014,3.00E-05,NA,5.50E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000605,HEVI,AZNC,KV,1,H1,O,HEVI_AZNC_KV,NA,NA,NA,NA,NA,NA,239.3636364,0.065868263,0.181561618
297,HEVI_AZNC_KV_8_H1_G,1.24,0.049,0.1539,0.395,0.002,0.0591,0.2346,NA,0.2937,NA,NA,3-Jul,B13,G,,14-Jul,1,0.9,NA,2,0.0084,0.0064,0.0062,1.00E-04,NA,NA,0.0021,3.00E-05,0.0012,0.000145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000605,HEVI,AZNC,KV,8,H1,G,HEVI_AZNC_KV,NA,NA,NA,NA,NA,NA,85.51724138,0.527272727,0.1429822
298,HEVI_AZNC_KV_9_H1_G,5.4227,0.1304,0.4096,0.2404,0.002,0.0702,0.299,NA,0.3692,NA,NA,3-Jul,B4,G,,14-Jul,1,1.5,NA,2,0.0118,0.0083,0.0081,1.00E-04,NA,NA,0.0029,1.00E-04,0.0023,1.55E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000605,HEVI,AZNC,KV,9,H1,G,HEVI_AZNC_KV,NA,NA,NA,NA,NA,NA,3498.516129,0.071925754,0.261008807
303,HEVI_COSW_DE_16_H1_G,2.931,0.0685,0.2152,0.2337,0.001,0.0255,0.11,NA,0.1355,NA,NA,6-Jul,D1,G,,17-Jul,1,0.6,NA,2,0.004,0.0015,0.0025,0.00012,NA,NA,NA,3.00E-05,0.0012,9.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00043,HEVI,COSW,DE,16,H1,G,HEVI_COSW_DE,NA,NA,NA,NA,NA,NA,325.6666667,0.375,0.335784314
305,HEVI_COSW_DE_18_H2_G,23.2963,0.5785,1.8173,0.2483,0.011,0.0744,0.2306,NA,0.413,NA,0.108,26-Jul,H9,G,31-Jul,18-Aug,2,1.4,2,2,0.0057,0.0057,8.00E-04,NA,0.0023,NA,0.0018,3.00E-05,0.0032,0.00089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00043,HEVI,COSW,DE,18,H2,G,HEVI_COSW_DE,NA,NA,NA,NA,NA,NA,261.7561798,0.967391304,0.583459405
306,HEVI_COSW_DE_18_H2_O,26.3835,0.5282,1.6593,0.2002,0.008,0.0713,0.1345,NA,0.3289,NA,0.1231,26-Jul,H12,O,31-Jul,18-Aug,2,1.7,3,2,0.0157,0.0078,0.0021,0.000437,0.0025,NA,0.0015,2.00E-04,0.000252,0.000585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00043,HEVI,COSW,DE,18,H2,O,HEVI_COSW_DE,NA,NA,NA,NA,NA,NA,451,0.478723404,0.616264147
307,HEVI_COSW_DE_3_H1_O,3.9427,0.102,0.3205,0.2587,0.002,0.0482,0.2819,NA,0.3301,NA,NA,3-Jul,D10,O,,14-Jul,1,1,NA,2,0.0078,0.0053,0.0054,0.00038,NA,NA,0.0024,3.00E-05,0.0015,0.000108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00043,HEVI,COSW,DE,3,H1,O,HEVI_COSW_DE,NA,NA,NA,NA,NA,NA,365.0648148,0.208494208,0.236056468
309,HEVI_COSW_DE_5_H1_O,5.2455,0.1164,0.3656,0.2219,0.002,0.047,0.2411,NA,0.2881,NA,NA,3-Jul,A4,O,,14-Jul,1,1.3,NA,2,0.0085,0.0072,0.0055,0.00024,NA,NA,0.0023,3.00E-05,0.0013,0.000158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00043,HEVI,COSW,DE,5,H1,O,HEVI_COSW_DE,NA,NA,NA,NA,NA,NA,331.9936709,0.369158879,0.28776267
315,HEVI_NMNW_NC_12_H1_O,4.1674,0.1035,0.3251,0.2483,0.002,0.0502,0.1975,NA,0.2477,NA,NA,4-Jul,B2,O,,14-Jul,1,1.1,NA,2,0.0058,0.0041,0.0029,0.000241,NA,NA,4.00E-04,7.00E-05,0.0017,0.000159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00048,HEVI,NMNW,NC,12,H1,O,HEVI_NMNW_NC,NA,NA,NA,NA,NA,NA,262.1006289,0.338297872,0.294703872
319,HEVI_NMNW_NC_17_H1_O,3.5141,0.0848,0.2664,0.2413,0.002,0.0306,0.1222,NA,0.1838,NA,0.031,26-Jul,H6,O,4-Aug,4-Aug,1,0.7,2,2,0.004,0.0031,0.0045,4.00E-04,NA,NA,0.0022,0.001,0.0016,5.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00048,HEVI,NMNW,NC,17,H1,O,HEVI_NMNW_NC,NA,NA,NA,NA,NA,NA,702.82,0.034482759,0.315711095
